package	ondiskversion	loadedversion	path	loadedpath	attached	is_base	date	source	md5ok	library
base	3.6.1	NA	/Library/Frameworks/R.framework/Resources/library/base	NA	TRUE	TRUE	2019-07-06	local	NA	NA
data.table	1.12.8	NA	/Users/jhester/Library/R/3.6/library/data.table	NA	FALSE	FALSE	2019-12-09	CRAN (R 3.6.0)	NA	/Users/jhester/Library/R/3.6/library
dplyr	0.8.3	NA	/Users/jhester/Library/R/3.6/library/dplyr	NA	FALSE	FALSE	2019-07-04	CRAN (R 3.6.0)	NA	/Users/jhester/Library/R/3.6/library
readr	1.3.1	NA	/Users/jhester/Library/R/3.6/library/readr	NA	FALSE	FALSE	2018-12-21	CRAN (R 3.6.0)	NA	/Users/jhester/Library/R/3.6/library
vroom	1.0.2.9000	1.0.2.9000	/Users/jhester/Library/R/3.6/library/vroom	/Users/jhester/Library/R/3.6/library/vroom	FALSE	FALSE	2019-12-17	local	NA	/Users/jhester/Library/R/3.6/library
