exprs	process	real	size	rows	cols	max_memory
library(data.table)	0.05641532699999985	0.05641937255859375	400248755	1000000	25	5080014848
"x <- fread(file, sep = ""\t"", quote = """", strip.white = FALSE, na.strings = NULL)"	45.553360995	42.82739567756653	400248755	1000000	25	5080014848
print(x)	0.01535388299999596	0.015356302261352539	400248755	1000000	25	5080014848
a <- head(x)	2.4213100000025634e-4	2.4390220642089844e-4	400248755	1000000	25	5080014848
b <- tail(x)	2.0244400000279938e-4	0.00020360946655273438	400248755	1000000	25	5080014848
c <- x[sample(NROW(x), 100), ]	0.003910263000001635	0.003912210464477539	400248755	1000000	25	5080014848
"d <- x[X1 == ""helpless_sheep"", ]"	0.06275645499999882	0.01575303077697754	400248755	1000000	25	5080014848
e <- x[, .(mean(nchar(X2))), by = X1]	0.19549771300000174	0.14883995056152344	400248755	1000000	25	5080014848
