exprs	process	real	size	rows	cols	max_memory
({ })	3.3130000001158066e-6	5.4836273193359375e-6	400248755	1000000	25	4796669952
"x <- read.delim(file, quote = """", na.strings = NULL, stringsAsFactors = FALSE)"	109.64504694899999	109.64709305763245	400248755	1000000	25	4796669952
print(head(x, 10))	0.0071819000000061806	0.00718379020690918	400248755	1000000	25	4796669952
a <- head(x)	2.554639999914343e-4	2.567768096923828e-4	400248755	1000000	25	4796669952
b <- tail(x)	4.952179999975215e-4	4.963874816894531e-4	400248755	1000000	25	4796669952
c <- x[sample(NROW(x), 100), ]	0.0016162499999978763	0.0016181468963623047	400248755	1000000	25	4796669952
"d <- x[x$X1 == ""helpless_sheep"", ]"	0.0276106489999961	0.02761244773864746	400248755	1000000	25	4796669952
e <- tapply(x$X2, x$X1, function(x) mean(nchar(x)))	0.3060257899999925	0.3060286045074463	400248755	1000000	25	4796669952
