exprs	process	real	size	rows	cols	max_memory
({ library(vroom) library(dplyr) })	0.349206017	0.3492105007171631	1600080624	100000	1000	13033082880
"x <- vroom(file, trim_ws = FALSE, quote = """", escape_double = FALSE, na = cha..."	258.09181479800003	247.31999611854553	1600080624	100000	1000	13033082880
print(x)	0.06623288399998728	0.06623482704162598	1600080624	100000	1000	13033082880
a <- head(x)	0.0027959219999615925	0.002797365188598633	1600080624	100000	1000	13033082880
b <- tail(x)	0.0024252139999703104	0.0024268627166748047	1600080624	100000	1000	13033082880
c <- sample_n(x, 100)	0.027183294999986174	0.02718496322631836	1600080624	100000	1000	13033082880
"d <- filter(x, X1 == ""helpless_sheep"")"	0.034791021999978966	0.03479290008544922	1600080624	100000	1000	13033082880
e <- group_by(x, X1) %>% summarise(avg_nchar = mean(nchar(X2)))	0.036543052000013176	0.0365450382232666	1600080624	100000	1000	13033082880
