exprs	process	real	size	rows	cols	max_memory
({ library(vroom) library(dplyr) })	0.36314286799999995	0.3631572723388672	1600080624	100000	1000	7050731520
"x <- vroom(file, trim_ws = FALSE, quote = """", escape_double = FALSE, na = cha..."	15.844784293	3.108229875564575	1600080624	100000	1000	7050731520
print(x)	0.06392608800000232	0.06392836570739746	1600080624	100000	1000	7050731520
a <- head(x)	0.004407775999997199	0.004410743713378906	1600080624	100000	1000	7050731520
b <- tail(x)	0.0039727230000004	0.0039751529693603516	1600080624	100000	1000	7050731520
c <- sample_n(x, 100)	0.026044930000001187	0.026047945022583008	1600080624	100000	1000	7050731520
"d <- filter(x, X1 == ""helpless_sheep"")"	0.08114447399999847	0.0811469554901123	1600080624	100000	1000	7050731520
e <- group_by(x, X1) %>% summarise(avg_nchar = mean(nchar(X2)))	0.1597604110000006	0.15976333618164062	1600080624	100000	1000	7050731520
