exprs	process	real	size	rows	cols	max_memory
({ library(readr) library(dplyr) })	0.3050479999999999	0.3352129600243643	301000	999	37	110637056
x <- read_fwf(file, fields, col_types = types)	0.0350680000000001	0.03861696203239262	301000	999	37	110637056
print(x)	0.25309800000000005	0.28039166098460555	301000	999	37	110637056
a <- head(x)	6.350000000001632e-4	6.367580499500036e-4	301000	999	37	110637056
b <- tail(x)	6.450000000000067e-4	6.469320505857468e-4	301000	999	37	110637056
c <- sample_n(x, 100)	0.002218999999999971	0.004553438979201019	301000	999	37	110637056
"d <- filter(x, PERSONS == ""06"")"	0.0010369999999999546	0.0010385609930381179	301000	999	37	110637056
e <- group_by(x, STATE) %>% summarise(avg_TOTPUM5 = mean(TOTPUMA5))	0.004811000000000121	0.004812499973922968	301000	999	37	110637056
