exprs	process	real	size	rows	cols	max_memory
({ })	4.999999999921734e-6	6.266986019909382e-6	301000	999	37	87769088
x <- read.fwf(file, widths = fields$width, col.names = fields$col_names)	1.314324	1.51216242602095	301000	999	37	87769088
print(head(x, 10))	0.03415899999999983	0.03835327399428934	301000	999	37	87769088
a <- head(x)	0.0015610000000001456	0.0015642779180780053	301000	999	37	87769088
b <- tail(x)	0.0014050000000001006	0.0014074660139158368	301000	999	37	87769088
c <- x[sample(NROW(x), 100), ]	0.0018049999999996125	0.0018199629848822951	301000	999	37	87769088
"d <- x[x$PERSONS == ""06"", ]"	0.002028000000000141	0.002030982985161245	301000	999	37	87769088
e <- tapply(x$TOTPUMA5, x$STATE, mean)	9.779999999999234e-4	0.0010010380065068603	301000	999	37	87769088
