exprs	process	real	size	rows	cols	max_memory
({ library(vroom) library(dplyr) })	0.2996260059999998	0.29964709281921387	1963219523	100000	1000	7792242688
"x <- vroom(file, trim_ws = FALSE, quote = """", escape_double = FALSE, na = cha..."	16.673107875	2.9666857719421387	1963219523	100000	1000	7792242688
print(x)	0.07086207600000094	0.06784224510192871	1963219523	100000	1000	7792242688
a <- head(x)	0.003975565000001069	0.0039768218994140625	1963219523	100000	1000	7792242688
b <- tail(x)	0.013946671999999438	0.013948440551757812	1963219523	100000	1000	7792242688
c <- sample_n(x, 100)	0.02246668400000118	0.022468090057373047	1963219523	100000	1000	7792242688
d <- filter(x, X1 > 3)	0.05683080300000043	0.019407272338867188	1963219523	100000	1000	7792242688
e <- group_by(x, as.integer(X2)) %>% summarise(avg_X1 = mean(X1))	0.07652678499999865	0.07652854919433594	1963219523	100000	1000	7792242688
