exprs	process	real	size	rows	cols	max_memory
library(data.table)	0.051875126999999965	0.051879167556762695	1963219523	100000	1000	5880053760
"x <- fread(file, sep = ""\t"", quote = """", strip.white = FALSE, na.strings = NULL)"	5.577086213	1.2563517093658447	1963219523	100000	1000	5880053760
print(x)	0.09918665400000037	0.09919476509094238	1963219523	100000	1000	5880053760
a <- head(x)	4.1016100000046407e-4	4.124641418457031e-4	1963219523	100000	1000	5880053760
b <- tail(x)	4.3974700000060096e-4	4.417896270751953e-4	1963219523	100000	1000	5880053760
c <- x[sample(NROW(x), 100), ]	0.002832650000000214	0.002834796905517578	1963219523	100000	1000	5880053760
d <- x[X1 > 3, ]	0.003388150000000145	0.003390073776245117	1963219523	100000	1000	5880053760
e <- x[, .(mean(X1)), by = as.integer(X2)]	0.014421183999999698	0.003484010696411133	1963219523	100000	1000	5880053760
