exprs	process	real	size	rows	cols	max_memory
library(vroom)	0.22699760899999988	0.22700119018554688	1963219523	100000	1000	5739347968
"x <- vroom(file, trim_ws = FALSE, quote = """", escape_double = FALSE, na = cha..."	40.352723725000004	6.934685707092285	1963219523	100000	1000	5739347968
print(x)	0.060421132000001876	0.06042838096618652	1963219523	100000	1000	5739347968
a <- head(x)	0.0024158189999994306	0.0024175643920898438	1963219523	100000	1000	5739347968
b <- tail(x)	0.0020524330000029067	0.002053976058959961	1963219523	100000	1000	5739347968
c <- x[sample(NROW(x), 100), ]	0.004886046000002864	0.00488734245300293	1963219523	100000	1000	5739347968
d <- x[x$X1 > 3, ]	0.005605907000003185	0.00560760498046875	1963219523	100000	1000	5739347968
e <- tapply(x$X1, as.integer(x$X2), mean)	0.0062097089999966215	0.006211280822753906	1963219523	100000	1000	5739347968
