exprs	process	real	size	rows	cols	max_memory
({ })	2.4919999999928333e-6	4.291534423828125e-6	1963219523	100000	1000	14925504512
"x <- read.delim(file, quote = """", na.strings = NULL, stringsAsFactors = FALSE)"	520.94659044	520.9491238594055	1963219523	100000	1000	14925504512
print(head(x, 10))	0.14457025599995177	0.14457178115844727	1963219523	100000	1000	14925504512
a <- head(x)	0.00554766400000517	0.00554966926574707	1963219523	100000	1000	14925504512
b <- tail(x)	0.005523487000004934	0.005524635314941406	1963219523	100000	1000	14925504512
c <- x[sample(NROW(x), 100), ]	0.008143473000018275	0.00814509391784668	1963219523	100000	1000	14925504512
d <- x[x$X1 > 3, ]	0.07546179700000266	0.07546305656433105	1963219523	100000	1000	14925504512
e <- tapply(x$X1, as.integer(x$X2), mean)	0.004460027000050104	0.004461526870727539	1963219523	100000	1000	14925504512
