exprs	process	real	size	rows	cols	max_memory
({ library(vroom) library(dplyr) })	0.258771325	0.2613852024078369	1963219523	100000	1000	5189611520
"x <- vroom(file, trim_ws = FALSE, quote = """", escape_double = FALSE, na = cha..."	37.122027176	5.2356836795806885	1963219523	100000	1000	5189611520
print(x)	0.1596940649999965	0.15969586372375488	1963219523	100000	1000	5189611520
a <- head(x)	0.0016338509999940243	0.0016355514526367188	1963219523	100000	1000	5189611520
b <- tail(x)	0.0017161259999980416	0.0017178058624267578	1963219523	100000	1000	5189611520
c <- sample_n(x, 100)	0.005278871000001573	0.005280256271362305	1963219523	100000	1000	5189611520
d <- filter(x, X1 > 3)	0.005233668000002467	0.005235195159912109	1963219523	100000	1000	5189611520
e <- group_by(x, as.integer(X2)) %>% summarise(avg_X1 = mean(X1))	0.02279712299999659	0.022798776626586914	1963219523	100000	1000	5189611520
