exprs	process	real	size	rows	cols	max_memory
({ library(readr) library(dplyr) library(purrr) })	0.3223432009999998	0.32390713691711426	19747530143	173179759	11	68142866432
"x <- map_dfr(set_names(file), .id = ""path"", ~read_csv(.x, col_types = c(picku..."	513.023146182	513.0419948101044	19747530143	173179759	11	68142866432
print(x)	0.42046564199995373	0.8164463043212891	19747530143	173179759	11	68142866432
a <- head(x)	5.451750000702305e-4	5.466938018798828e-4	19747530143	173179759	11	68142866432
b <- tail(x)	5.111670000133017e-4	5.125999450683594e-4	19747530143	173179759	11	68142866432
c <- sample_n(x, 100)	0.014300675999947998	0.014302730560302734	19747530143	173179759	11	68142866432
"d <- filter(x, payment_type == ""UNK"")"	4.221973435999985	4.222117900848389	19747530143	173179759	11	68142866432
e <- group_by(x, payment_type) %>% summarise(avg_tip = mean(tip_amount))	13.439076254000042	13.440344095230103	19747530143	173179759	11	68142866432
