exprs	process	real	size	rows	cols	max_memory
({ library(readr) library(dplyr) })	0.38975299999999996	0.3898617080412805	1666833417	14776615	11	5560369152
"x <- read_csv(file, col_types = c(pickup_datetime = ""c""), quote = """", trim_ws..."	26.020231	26.03900126798544	1666833417	14776615	11	5560369152
print(x)	0.0878540000000001	0.09517883905209601	1666833417	14776615	11	5560369152
a <- head(x)	0.0020500000000005514	0.002051693038083613	1666833417	14776615	11	5560369152
b <- tail(x)	4.750000000015575e-4	4.842430353164673e-4	1666833417	14776615	11	5560369152
c <- sample_n(x, 100)	0.015371999999999275	0.015373745001852512	1666833417	14776615	11	5560369152
"d <- filter(x, payment_type == ""UNK"")"	0.19438500000000047	0.19441537302918732	1666833417	14776615	11	5560369152
e <- group_by(x, payment_type) %>% summarise(avg_tip = mean(tip_amount))	0.3933549999999997	0.3933977789711207	1666833417	14776615	11	5560369152
