exprs	process	real	size	rows	cols	max_memory
library(vroom)	0.2912915840000001	0.29129719734191895	1641999923	14388451	11	8715272192
"x <- vroom(file, col_types = c(pickup_datetime = ""c""), trim_ws = FALSE, quote..."	21.7818322	1.6872870922088623	1641999923	14388451	11	8715272192
print(x)	0.22609458999999887	0.2531003952026367	1641999923	14388451	11	8715272192
a <- head(x)	9.544290000000899e-4	9.562969207763672e-4	1641999923	14388451	11	8715272192
b <- tail(x)	4.272000000007381e-4	4.2891502380371094e-4	1641999923	14388451	11	8715272192
c <- x[sample(NROW(x), 100), ]	2.0479000000150904e-4	2.0599365234375e-4	1641999923	14388451	11	8715272192
"d <- x[x$payment_type == ""UNK"", ]"	1.4892358530000003	1.4892778396606445	1641999923	14388451	11	8715272192
e <- tapply(x$tip_amount, x$payment_type, mean)	12.232529919000001	10.602604627609253	1641999923	14388451	11	8715272192
